Book,Position ID,CUSIP,Sub Type,PRODUCT_CODE_2052a_Collateral_Class,Issuer,Current Factor,Coupon,Maturity Date,Nominal,CA_NOTIONAL,TOTAL_PAYDOWN_BOOK_VALUE,MTB_BOOK VALUE (Clean),PV_NET (MV Clean),MTB_BOOK PRICE (Clean),PRICE (Mkt),NPV_DISC (Clean MTM),Curve Date,Prepay Model,Prepay Rate,Vol Model,Curve Type,Forward Yield,Prospective Yield,Effective Duration,Effective Convexity,Effective DV01,Dollar Duration,1YR,2YR,3YR,5YR,10YR,20YR,30YR,Average Life,LT CPR,OAS,Z-Spread,Factor,Life CPR,GWAC,WALA,WALS,MaxServicerName,MaxServicerPercent,Eff. Dur,DV01,Dollar Return,Eff. Dur.1,DV01.1,Dollar Return.1,Eff. Dur.2,DV01.2,Dollar Return.2,Eff. Dur.3,DV01.3,Dollar Return.3,Eff. Dur.4,DV01.4,Dollar Return.4,Eff. Dur.5,DV01.5,Dollar Return.5
233_PUB_HTM,612621,3411508J2,MUNI,IG-2,FLORIDA ST,1,2,7/1/2038,6850000," 6,850,000 ", -   ,5979354.21,5327647.1,87.2898,77.77587," (651,707.12)",,,,,,4.388418,3.282106,9.986101151,0.985309541,0.078488849,5376.486157,-0.0157,-0.0319,-0.0701,-0.1646,8.0884,2.1858,0,11.204,,18.4794,22.949446,,,,,,,,4.0859,0.045072149,31.71399814,7.3269,0.076532714,25.85620404,9.4469,0.090532459,17.2346036,10.1129,0.079416059,-0.06892886,10.0314,0.071223691,-7.59756667,9.8811,0.063504457,-14.32941238
233_PUB_HTM,612079,34153P6Z6,MUNI,IG-2,FLORIDA ST BRD OF EDU PUBLIC E,,3,6/1/2028,6435000," 6,435,000 ", -   ,6435000,6430554.06,100,99.93091," (4,445.94)",,,,,,3.035705,2.999936,0.660394847,-1.062984228,0.006697344,430.9740864,0.275,0.3974,0.0021,0,0,0,0,0.6473,,-137.4234,-85.465548,,,,,,,,0.1287,0.00131452,0.7544528,0.1305,0.001331716,0.62285394,0.1308,0.001332707,0.4893223,0.196,0.00199195,0.21826225,1.1949,0.012064735,-0.44243866,1.6949,0.016858162,-1.94871423
233_PUB_HTM,611990,34153QAV8,MUNI,IG-2,FLORIDA ST BRD OF EDU PUBLIC E,,3,6/1/2029,400000," 400,000 ", -   ,400000,399592.6,100,99.89815, (407.40),,,,,,3.035669,2.999957,0.842120647,-1.414268374,0.008537544,34.150176,0.2639,0.156,0.4625,0.0012,0,0,0,0.7588,,-153.8979,-84.487114,,,,,,,,0.1288,0.001315902,0.8091338,0.1306,0.001333109,0.67739691,0.1309,0.001334094,0.54372594,0.2822,0.002868172,0.26829432,1.693,0.017049279,-0.67751686,2.3956,0.023618659,-2.7884156
233_PUB_HTM,612840,34153QLS3,MUNI,IG-2,FLORIDA ST BRD OF EDU PUBLIC E,,4,6/1/2035,10580000," 10,580,000 ", -   ,10747509.61,10653077.12,101.5833,100.69071," (94,432.50)",,,,,,3.295834,2.396848,0.955771565,0.018659199,0.009812762,1038.19022,0.9487,0.007,0,0,0,0,0,1.0056,,-54.5694,-54.569833,,,,,,,,0.9987,0.010724314,4.71109381,0.9906,0.010531624,3.64909554,0.9811,0.010328094,2.60584585,0.9614,0.009926485,0.58079823,0.9519,0.009734398,-0.40219318,0.9425,0.009547827,-1.36625371
233_PUB_HTM,611153,34153QMM5,MUNI,IG-2,FLORIDA ST BRD OF EDU PUBLIC E,,4,6/1/2032,890000," 890,000 ", -   ,919776.76,907669.44,103.3457,101.98533," (12,107.32)",,,,,,3.62907,3.379738,2.80986166,-0.680303574,0.029212195,259.9885355,0.0041,1.1761,0.3658,1.0905,0.2212,0,0,2.7488,,-125.6823,-91.722966,,,,,,,,1.9699,0.022482218,10.16815278,1.9507,0.021831442,7.95350354,1.9335,0.021223253,5.80216096,2.6957,0.02833949,1.16502993,3.479,0.035459254,-2.04060355,4.0717,0.039951634,-5.84244259
233_PUB_HTM,611413,34153QNK8,MUNI,IG-2,FLORIDA ST BRD OF EDU PUBLIC E,,4,6/1/2034,3785000," 3,785,000 ", -   ,3908713.83,3842973.71,103.2685,101.53167," (65,740.12)",,,,,,3.77648,3.527764,3.341557741,-1.092355609,0.034588281,1309.166436,0.0041,1.0777,0.3404,0.9855,0.9477,0,0,3.243,,-123.9497,-68.480257,,,,,,,,1.9697,0.022472451,10.58354652,1.9505,0.021822022,8.36985624,1.9478,0.021372387,6.21752141,3.4695,0.036227304,0.9076337,4.6404,0.046510864,-3.27909915,5.4109,0.051555917,-8.2280053
233_PUB_HTM,612730,34153QTC0,MUNI,IG-2,FLORIDA ST BRD OF EDU PUBLIC E,1,3,6/1/2034,3025000," 3,025,000 ", -   ,3084909.6,2943027.04,101.9805,97.29015," (141,882.56)",,,,,,3.389316,2.722977,5.747691631,-0.131439626,0.056771953,1717.351578,-0.0061,-0.0157,0.4534,2.7844,2.5344,0,0,5.9457,,-94.9964,-60.534591,,,,,,,,3.8741,0.046471756,21.18021089,3.9184,0.045219619,16.63052524,4.5474,0.050329573,11.90500164,5.9839,0.059513211,0.68141699,6.2872,0.058794394,-5.25945476,6.4361,0.056467857,-11.03755774
233_PUB_HTM,611180,34153QTD8,MUNI,IG-2,FLORIDA ST BRD OF EDU PUBLIC E,1,3,6/1/2035,3115000," 3,115,000 ", -   ,3171390.3,2992828.14,101.8103,96.07795," (178,562.16)",,,,,,3.511767,2.771455,6.303335667,-0.223538965,0.061496153,1915.605166,-0.0056,-0.0149,0.391,2.06,3.9095,0,0,6.4367,,-87.0776,-52.005887,,,,,,,,3.8721,0.046307717,22.03171867,3.9458,0.045398045,17.49313727,4.7837,0.052723866,12.65403974,6.5359,0.064177476,0.63157967,6.9298,0.063598245,-5.7860039,7.0879,0.06064374,-12.00209298
233_PUB_HTM,611745,34153QTE6,MUNI,IG-2,FLORIDA ST BRD OF EDU PUBLIC E,1,3,6/1/2036,3205000," 3,205,000 ", -   ,3257915.96,3044082.08,101.651,94.97916," (213,833.88)",,,,,,3.602093,2.809552,6.900808811,-0.225454375,0.066566922,2133.46985,-0.0056,-0.0147,0.3242,1.0695,5.4874,0.0028,0,7.0678,,-82.8003,-46.90035,,,,,,,,3.871,0.046219401,22.93621362,3.9794,0.045707636,18.39939891,5.011,0.055072937,13.44253314,7.0909,0.068841822,0.6228797,7.5165,0.067808881,-6.24868569,7.7033,0.064388007,-12.87701939
233_PUB_HTM,611932,34153QVK9,MUNI,IG-2,FLORIDA ST BRD OF EDU PUBLIC E,1,2,6/1/2040,3310000," 3,310,000 ", -   ,2838749.81,2368180.54,85.7628,71.54624," (470,569.26)",,,,,,4.816824,3.275637,11.37452602,1.458325505,0.082505271,2730.92447,-0.0124,-0.03,-0.0755,-0.2952,6.8387,4.9435,0,13.4633,,57.0402,58.837349,,,,,,,,5.6539,0.062242284,37.55146043,10.0943,0.102517381,29.02421952,11.4234,0.103960283,18.47141778,11.4869,0.082951158,-0.3214483,11.2701,0.072629929,-8.09026636,11.0098,0.063472964,-14.88397108
233_PUB_HTM,611995,34153QVL7,MUNI,IG-2,FLORIDA ST BRD OF EDU PUBLIC E,1,2,6/1/2041,3375000," 3,375,000 ", -   ,2860865.53,2332230.64,84.7664,69.10313," (528,634.90)",,,,,,4.939765,3.294928,12.01728153,1.666911483,0.084231555,2842.814981,-0.0118,-0.0289,-0.073,-0.3051,5.8577,6.5713,0,14.5255,,66.5247,68.014552,,,,,,,,6.0195,0.065930642,39.4360255,11.0208,0.110467456,30.14316662,12.2268,0.108896308,18.97124775,12.1277,0.084502771,-0.41455392,11.8604,0.073297597,-8.29158951,11.5524,0.06350822,-15.11781538
